1.000000,40.408910,4.032144
100.000000,0.757493,0.078337
50.000000,1.978547,0.268352
25.000000,4.795540,0.715773
75.000000,1.085475,0.166627
13.000000,10.708453,1.242620
37.000000,2.797200,0.418990
31.000000,4.761711,2.471918
7.000000,17.275534,2.568014
19.000000,7.639432,1.285602
16.000000,10.698051,2.713259
22.000000,7.256133,2.135953
34.000000,3.411531,0.469628
4.000000,32.109197,4.149460
10.000000,15.250960,2.694051
17.000000,8.591276,1.631360
23.000000,5.670626,0.841426
23.000000,5.670626,0.841426
5.000000,29.792692,4.476326
32.000000,3.612766,0.330935
8.000000,21.602197,4.032101
11.000000,15.215741,2.903983
11.000000,15.215741,2.903983
2.000000,34.481271,2.497047
6.000000,25.469697,4.737663
9.000000,19.318465,2.852701
12.000000,12.722707,2.372953
3.000000,31.941321,3.106820
